date,Year_x,State,influenza,Haemophilus influenzae,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,upper respiratory tract infection,Tamiflu,totalCount
2019-07-21,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,29.0
2019-07-28,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,35.0
2019-08-04,2019,NT,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
2019-08-11,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,41.0
2019-08-18,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,28.0
2019-08-25,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0,0,0,32.0
2019-09-01,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,23.0
2019-09-08,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
2019-09-15,2019,NT,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
2019-09-22,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,47.0
2019-09-29,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
2019-10-06,2019,NT,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,18,0,0,0,0,31.0
2019-10-13,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,18.0
2019-10-20,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
2019-10-27,2019,NT,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2019-11-03,2019,NT,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15.0
2019-11-10,2019,NT,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,26,36,0,0,0,5.0
2019-11-17,2019,NT,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,4.0
2019-11-24,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
2019-12-01,2019,NT,27,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,34.0
2019-12-08,2019,NT,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,66.0
2019-12-15,2019,NT,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41.0
2019-12-22,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
2019-12-29,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,33.0
2020-01-05,2020,NT,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
2020-01-12,2020,NT,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
2020-01-19,2020,NT,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,0,38,14.0
2020-01-26,2020,NT,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,24.0
2020-02-02,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,25,30.0
2020-02-09,2020,NT,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2020-02-16,2020,NT,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
2020-02-23,2020,NT,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,11.0
2020-03-01,2020,NT,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,0,0,0,10.0
2020-03-08,2020,NT,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,27.0
2020-03-15,2020,NT,58,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,28.0
2020-03-22,2020,NT,70,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,32,0,0,0,18.0
2020-03-29,2020,NT,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,16.0
2020-04-05,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8.0
2020-04-12,2020,NT,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5.0
2020-04-19,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,3.0
2020-04-26,2020,NT,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,0,0.0
2020-05-03,2020,NT,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0.0
2020-05-10,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0
2020-05-17,2020,NT,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,49,0,0,0,19,0.0
2020-05-24,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2020-05-31,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.0
2020-06-07,2020,NT,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52,0,0,0,0.0
2020-06-14,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-06-21,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0.0
2020-06-28,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0.0
2020-07-05,2020,NT,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0.0
2020-07-12,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0.0
2020-07-19,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-07-26,2020,NT,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0.0
2020-08-02,2020,NT,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0.0
2020-08-09,2020,NT,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,20,61,0,0,0,0.0
2020-08-16,2020,NT,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.0
2020-08-23,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-08-30,2020,NT,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2020-09-06,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-09-13,2020,NT,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,47,0,0,0,0,0.0
2020-09-20,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,0,0,0,0.0
2020-09-27,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-10-04,2020,NT,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,28,0,0,0,0,0.0
2020-10-11,2020,NT,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-10-18,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2020-10-25,2020,NT,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1.0
2020-11-01,2020,NT,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-11-08,2020,NT,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.0
2020-11-15,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-11-22,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-11-29,2020,NT,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-12-06,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.0
2020-12-13,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-12-20,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-12-27,2020,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0.0
2021-01-03,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0
2021-01-10,2021,NT,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-01-17,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,66,0,0,0,0.0
2021-01-24,2021,NT,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,0,0,0,0.0
2021-01-31,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-02-07,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-02-14,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0.0
2021-02-21,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-02-28,2021,NT,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,48,21,0,0,0,2.0
2021-03-07,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.0
2021-03-14,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1.0
2021-03-21,2021,NT,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2021-03-28,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2021-04-04,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.0
2021-04-11,2021,NT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0.0
2021-04-18,2021,NT,53,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1.0
2021-04-25,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2021-05-02,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-05-09,2021,NT,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1.0
2021-05-16,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2.0
2021-05-23,2021,NT,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
2021-05-30,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1.0
2021-06-06,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1.0
2021-06-13,2021,NT,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,18,0,0,0,0,0.0
2021-06-20,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2.0
2021-06-27,2021,NT,22,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,68,0,0,20,0.0
2021-07-04,2021,NT,26,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-07-11,2021,NT,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0.0
2021-07-18,2021,NT,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,25,0,0,23,0.0
2021-07-25,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-08-01,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-08-08,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0
2021-08-15,2021,NT,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,8.0
2021-08-22,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3.0
2021-08-29,2021,NT,31,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2021-09-05,2021,NT,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,39,0,0,23,0.0
2021-09-12,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0,0,61,1.0
2021-09-19,2021,NT,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
2021-09-26,2021,NT,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2021-10-03,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
2021-10-10,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2021-10-17,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,6.0
2021-10-24,2021,NT,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021-10-31,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2021-11-07,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2021-11-14,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0.0
2021-11-21,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2021-11-28,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2021-12-05,2021,NT,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,6.0
2021-12-12,2021,NT,46,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0.0
2021-12-19,2021,NT,0,0,0,44,0,0,0,0,0,0,21,0,0,0,0,44,25,0,0,0,5.0
2021-12-26,2021,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
